"Word","AoA_test_min","LgSUBTLWF","Length","Conc.M","SemD","V.Mean.Sum","A.Mean.Sum","Interoceptive.mean","Head.mean","Mouth.mean"
"homesick",2,2.093,8,2.86,1.58,3,4.05,4.15,3.75,1.1
"homestead",6,1.778,9,4.07,1.59,5.84,3.45,0.705882353,1.444444444,0.722222222
"homeward",2,1.602,8,2.14,1.69,6.37,4.24,2.318181818,2.277777778,0.722222222
"homework",2,3.012,8,4.5,1.63,3.32,4.74,0.5,3.3,0.65
"homicide",6,2.894,8,3.82,1.18,1.5,6.1,0.235294118,2.8,0.5
"homosexual",8,2.384,10,3.85,1.09,4.65,3.67,1.736842105,2.142857143,1.571428571
"honest",4,3.567,6,1.66,1.86,8.16,4,2.764705882,2.888888889,2.277777778
"honesty",4,2.567,7,1.59,1.82,7.43,3.32,1.789473684,3.352941176,2.470588235
"honey",2,4.185,5,4.88,1.61,7.27,4.38,0.68699187,1.473684211,4
"honeymoon",4,2.917,9,3.59,1.36,7.53,5.91,1.777777778,2.53125,1.9375
"honor",2,3.691,5,1.68,1.53,6.9,4.63,3.238095238,2.8,1.85
"honorary",8,1.892,8,1.75,1.3,6.42,3.9,1.705882353,2.75,1.3
"hood",2,2.895,4,4.88,1.76,4.95,3.33,0.277777778,3.722222222,0.888888889
"hoof",2,1.949,4,4.89,1.31,4.74,3.23,0.058823529,1.578947368,0.052631579
"hook",2,3.288,4,4.79,1.6,4,4,0.578947368,1.380952381,0.523809524
"hooker",12,2.777,6,4.5,0.95,3.42,4.91,0.9,2.666666667,2.142857143
"hooligan",12,1.58,8,3.59,0.88,3.1,5.5,0.529411765,2.05,1.45
"hoop",6,2.14,4,4.74,1.69,6.26,3.15,0,2.210526316,0.684210526
"hoot",2,2.127,4,3.88,1.55,6,4.91,0.625,2.684210526,3.578947368
"hop",2,2.99,3,3.8,1.5,5.89,3.71,1.411764706,0.611111111,0
"hope",2,4.214,4,1.25,2.06,7.48,5.29,3.333333333,3.35,1.85
"hopeful",4,2.185,7,1.7,2.05,7.44,4.84,3.210526316,2.9,1
"hopeless",4,2.66,8,1.59,1.73,2.2,4.52,3.117647059,1.947368421,0.684210526
"horde",12,1.771,5,3.7,1.28,4.21,5.05,0.4375,2.117647059,0.764705882
"horizon",4,2.36,7,4.44,1.66,6.48,4.25,0.421052632,3,0.368421053
"horizontal",10,1.892,10,3.46,1.52,5.86,4.25,1.421052632,2.578947368,0.315789474
"horn",2,3.032,4,5,1.73,5,4.22,0.294117647,2.526315789,1.421052632
"horned",6,1.447,6,4,0.97,4.2,4.61,0.235294118,2.388888889,0.277777778
"horny",12,2.632,5,2.87,1.37,6.84,6.28,4.6,3.85,2.6
"horoscope",8,1.785,9,3.29,1.18,5.29,3.95,0.7,3.526315789,0.894736842
"horrendous",10,1.724,10,2.07,1.94,2.58,5.81,2.75,3.052631579,1.052631579
"horrible",2,3.336,8,2.2,1.59,2.33,5.95,2.7,2.789473684,2.157894737
"horrid",4,2.1,6,2.14,1.45,2.68,6,1.5,2.833333333,1.333333333
"horror",6,2.671,6,2.5,1.73,3.38,6.13,2.764705882,3.631578947,1.736842105
"horse",2,3.676,5,5,1.29,6.05,4.16,0.176470588,2.45,1.05
"horseback",2,1.982,9,4.41,1.43,5.85,5.2,0.666666667,2.35,0.85
"horseman",2,1.792,8,4.3,1.18,5.95,3.42,0.2,1.789473684,0.473684211
"horsepower",6,1.799,10,2.48,1.3,5.57,4.52,0.857142857,1.315789474,0
"horseshoe",2,1.724,9,5,1.5,4.91,4.15,0.529411765,2.35,0.6
"hose",2,2.615,4,4.87,1.31,5,4.54,0,0.952380952,0.333333333
"hospice",13,1.544,7,3.93,1.35,3.53,4.22,0.333333333,2.2,1.7
"hospitable",6,1.633,10,1.81,1.72,7,3.62,2.411764706,2.904761905,2.523809524
"hospital",2,3.802,8,4.64,1.61,3.52,5.07,0.722222222,2.684210526,1.315789474
"hospitality",4,2.365,11,2.15,1.57,7.27,3.33,1.3125,2.736842105,2.157894737
"host",2,2.885,4,3.63,1.96,5.7,3.21,0.526315789,2.35,2
"hostage",6,2.872,7,4.26,1.46,2.74,5.73,0.85,2.684210526,1.526315789
"hostel",14,1.477,6,3.9,1.51,4,4.27,0.277777778,1.736842105,0.736842105
"hostess",6,2.279,7,4.12,1.51,6.7,4.18,0.333333333,2.647058824,2.823529412
"hostile",8,2.66,7,2.62,1.99,2.35,5.39,2.25,2.578947368,2.263157895
"hostility",8,2.146,9,2.24,1.78,2.95,6.74,2.526315789,3.15,2.6
"hot",2,3.986,3,4.31,1.79,5.73,4.76,2.411764706,3.368421053,3.052631579
"hotel",2,3.721,5,4.93,1.51,6.6,4.55,0.058823529,3.055555556,1.166666667
"hound",2,2.412,5,4.48,1.37,5.3,4.27,0.176470588,1.210526316,1.052631579
"hour",2,3.918,4,3.1,1.94,5.05,3.38,1.7,3.05,1.05
"hourly",4,1.58,6,2.5,1.68,5.55,2.67,0.875,1.722222222,0.777777778
"house",2,4.418,5,5,2.01,7.19,3.95,0.6875,3.428571429,0.857142857
"household",6,2.55,9,3.86,1.7,6.67,3.96,0.947368421,3.052631579,1.789473684
"housekeeper",2,2.476,11,4.36,1.37,5.32,3.64,0,2.2,0.95
"housekeeping",4,2.188,12,3.4,1.68,5.55,3.43,0.421052632,1.8,0.6
"housewife",4,2.258,9,4.43,1.34,5.42,3.73,0.8125,2.421052632,1.684210526
"housework",2,1.813,9,4.1,1.06,3.94,3.59,0.863636364,3.142857143,1.19047619
"housing",6,2.318,7,4,1.47,5.85,2.73,0.764705882,2.526315789,0.631578947
"hover",10,1.778,5,3.17,1.44,5.5,4.17,0.481481481,1.136363636,0.090909091
"howl",2,2.025,4,3.83,1.47,5.29,5.6,0.8,2.210526316,3.631578947
"hub",8,2.196,3,3.59,1.66,4.95,3.4,0.409090909,1.263157895,0.631578947
"huddle",4,2.049,6,4.21,1.65,5.32,3.68,0.444444444,1.842105263,1.315789474
"hue",12,1.857,3,3.66,1.66,6.26,3.4,0.294117647,3.25,0.05
"huff",8,1.833,4,3.32,1.84,4.4,4.25,1.631578947,1.85,3.85
"hug",2,2.994,3,4.14,1.5,8.23,4.85,2.75,1.823529412,0.411764706
"huge",2,3.392,4,3.54,2.04,5.72,4.24,0.823529412,2.454545455,0.727272727
"hulk",12,2.32,4,3.39,1.48,5.45,4.9,0.666666667,2.571428571,0.619047619
"hull",4,2.334,4,4.29,1.54,5.05,2.67,0.166666667,1.5,0
"human",2,3.804,5,4.93,1.81,6.45,3.62,2.222222222,4.4,3.85
"humane",8,1.973,6,1.79,1.61,6.88,3.21,2.764705882,2.1,1.05
"humanitarian",10,1.982,12,2.57,1.36,6.75,2.85,1.111111111,2.526315789,1.736842105
"humanity",8,2.696,8,2.36,1.51,6.78,4.35,1.235294118,3.619047619,2.238095238
"humankind",8,1.556,9,3.33,1.13,6.95,4.83,1.526315789,3.19047619,1.952380952
"humble",6,2.7,6,1.73,1.88,6.52,3.18,2.235294118,3.263157895,2.105263158
"humbug",12,1.699,6,1.57,1.74,4.84,5.14,2.066666667,2.15,1.5
"humid",6,1.663,5,3.48,1.44,3.42,3.36,2.65,2.65,1.15
"humidity",6,1.839,8,3,1.46,3.86,4.19,2.117647059,2.857142857,2
"humiliate",6,2.33,9,2.07,1.6,2.6,5.05,1.875,2.05,2.25
"humiliation",6,2.378,11,1.96,1.74,2.27,5.43,3.0625,2.65,2.1
"humility",12,2.09,8,1.75,1.51,5.65,3.95,2.842105263,3.35,2.25
"hummingbird",2,1.505,11,4.96,1.17,6.74,4.68,0.47826087,3.263157895,0.421052632
"humorous",4,1.881,8,2.23,1.71,7.81,5.33,1.823529412,3.210526316,3.052631579
"hump",6,2.354,4,4.36,1.74,4.75,5.16,1.05,0.777777778,0.388888889
"hunch",6,2.584,5,2,1.76,5.38,4.64,3,2.9,0.35
"hundred",2,3.604,7,3.2,1.75,6.5,3.7,0.047619048,2.105263158,1.578947368
"hunger",2,2.479,6,3.3,1.71,3.2,4.8,4.470588235,3.047619048,2.476190476
"hungry",2,3.595,6,2.9,1.69,3.54,5.6,4.516595957,2.588235294,2.764705882
"hunk",4,2.422,4,3.79,1.4,5.55,4.83,0.842105263,2.25,1
"hunt",2,3.121,4,3.81,1.78,3.84,5.1,0.294117647,3.523809524,1.095238095
"hurdle",8,1.58,6,3.97,1.17,4.3,4.05,0.823529412,2.181818182,0.363636364
"hurl",6,1.845,4,4.1,1.7,3.32,4.43,1.411764706,0.590909091,1.772727273
"hurricane",2,2.651,9,4.59,1.37,3.16,5.75,1,3.888888889,1.055555556
"hurry",2,3.947,5,2.63,1.71,4.32,5.62,2.681818182,2.555555556,1.777777778
"hurt",2,4.099,4,3.61,1.59,2.45,4.72,3.944444444,2.9,2.7
"hurtful",4,1.771,7,2.65,1.51,3.09,5.41,3.176470588,3.1,2.85
"husband",2,3.997,7,4.11,1.53,7.41,4.38,1.25,2.55,1.65
"husk",6,1.342,4,4.86,1.54,5,3.14,0.105263158,0.894736842,0.473684211
"husky",2,1.914,5,3.59,0.94,5.29,3.71,0.444444444,1.619047619,0.666666667
"hustle",6,2.605,6,2.96,1.6,4.52,5.74,1.8,1.476190476,1.380952381
"hut",2,2.829,3,4.65,1.49,5.1,2.91,0.176470588,0.944444444,0.333333333
"hybrid",8,2.021,6,3.21,1.69,5.47,3.81,0.166666667,1.4,0.6
"hydraulic",8,1.771,9,3.66,1.35,5.05,4.11,0.235294118,1.35,0.05
"hydrogen",8,2.137,8,3.32,1.03,5.04,3.83,0.277777778,1.315789474,1.157894737
"hygiene",8,2.037,7,3.11,1.41,6.38,4.63,1.371428571,3.571428571,3.047619048
"hygienic",10,1.447,8,2.55,1.41,5.91,3.86,2.052631579,2.333333333,2.714285714
"hymn",2,1.924,4,4.04,1.26,6.14,2.73,0.277777778,2.368421053,3
"hypnosis",8,2.009,8,2.78,0.99,5.72,4.1,3.125,3.8125,1.5625
"hypnotic",8,1.833,8,1.96,1.39,5.25,3.73,2,3.333333333,1.333333333
"hypocrisy",8,1.929,9,2,1.61,2.62,3.96,1.529411765,3.05,2.85
"hypocrite",6,2.223,9,2.55,1.39,3.25,4.77,1.368421053,2.947368421,3.105263158
"hypocritical",12,1.813,12,2.3,1.74,3.17,4.5,1.055555556,2.227272727,2.681818182
"hypothermia",13,1.602,11,3.55,1.41,2.57,5.78,3.823529412,2.941176471,1.823529412
"hypothesis",12,1.653,10,2.12,1.55,5.78,3.29,0.470588235,2.210526316,0.736842105
"hypothetical",12,2.1,12,1.3,1.75,4.94,4.43,1.147058824,2.866666667,1.833333333
"hysteria",8,2.068,8,2.86,1.67,3.79,5.59,2.75,3.6,1.85
"hysterical",8,2.56,10,2.65,1.69,4.58,6.33,2.578947368,3.105263158,2.526315789
"ice",2,3.608,3,4.89,1.6,6.06,3.3,1.3125,2.35,3.65
"iceberg",2,1.968,7,4.96,2,5.05,5.12,0.363636364,2.647058824,0.705882353
"iced",6,2.34,4,3.79,1.45,5.75,4,0.294117647,2,2.473684211
"icing",4,1.857,5,4.66,0.82,6.05,4.32,1.052631579,1.631578947,2.473684211
"icon",13,1.949,4,3.46,1.24,6.05,3.04,0.733333333,1.631578947,0.105263158
"icy",2,2.134,3,4.22,1.48,5.73,5.47,0.944444444,2.25,2.25
"idea",2,4.263,4,1.61,2.1,7.05,4.66,2.666666667,4.095238095,1.095238095
"ideal",4,2.574,5,1.37,2,6.63,3.78,1.545454545,2.315789474,1.473684211
"idealism",8,1.518,8,1.64,1.45,5.95,4.67,1.235294118,2.833333333,0.888888889
"identical",6,2.452,9,3.5,2.01,5.3,4.4,0.842105263,3.285714286,0.619047619
"identification",6,2.613,14,3.4,1.96,5.76,4.45,0.75,2.888888889,1.388888889
"identify",6,2.917,8,2.64,2.01,6,4.16,1.058823529,3.55,1.75
"ideology",12,1.532,8,1.62,1.38,5.52,3.96,2.117647059,3.789473684,1.315789474
"idiot",6,3.529,5,3.32,1.63,3.03,4.85,0.947368421,3.111111111,2.055555556
"idiotic",6,2.299,7,1.88,1.55,3.24,4.56,1.388888889,3.157894737,2.789473684
"idle",4,2.152,4,2.79,1.93,4.29,4.1,0.8,1.8,1.2
"idol",6,2.152,4,3.63,1.52,5.4,4.38,1.263157895,3.047619048,1.333333333
"ignite",6,1.716,6,4.04,1.76,4.7,5.86,0.705882353,1.736842105,0.368421053
"ignition",6,2.328,8,3.37,1.23,5.81,4.33,0.647058824,1.6,0.05
"ignorance",8,2.267,9,1.6,1.91,2.84,3.76,1.411764706,3.5,1.5
"ignorant",8,2.505,8,1.62,1.89,3.24,4.18,1.3125,2.85,1.05
"ignore",6,2.979,6,2.22,2.08,3.33,3.8,1.578947368,3.523809524,1.047619048
"illegal",4,3.079,7,2.37,1.81,2.53,5.55,1.235294118,2.181818182,1.772727273
"illegitimate",8,1.839,12,1.82,1.6,2.79,4,1.1875,2.272727273,1.5
"illicit",14,1.568,7,1.89,1.74,2.68,4.77,0.941176471,1.894736842,1.789473684
"illiterate",10,1.708,10,2.92,1.65,3.53,4.42,0.764705882,3.428571429,1.857142857
"illness",6,2.571,7,3.54,1.57,1.95,5.11,4.823529412,3.777777778,3.166666667
"illogical",8,1.477,9,1.38,1.9,3.5,4.78,1.315789474,3.55,1.9
"illuminate",8,1.633,10,3.55,1.75,6.58,5.74,0.238095238,2.2,0.35
"illumination",8,1.544,12,3.28,1.44,6.84,4,0.944444444,3.157894737,0.157894737
"illusion",8,2.625,8,2.48,1.76,5.16,4.5,0.888888889,3.421052632,0.526315789
"illustrate",4,1.613,10,3.31,1.93,6.24,3.78,0.315789474,2.9,0.9
"illustration",6,1.398,12,4.36,1.89,6.37,4,0.1875,2.631578947,0.842105263
"illustrious",8,1.863,11,1.65,1.79,6.21,4.09,1.076923077,2.777777778,0.833333333
"image",4,3.063,5,3.85,1.81,5.58,3.48,0.318181818,3.526315789,0.789473684
"imagery",14,1.875,7,2.48,1.41,6.86,4.55,0.611111111,3.9,0.65
"imaginable",6,1.69,10,1.79,1.98,6.85,3,2.611111111,3.8,0.7
"imaginary",4,2.348,9,1.74,1.87,6.22,3.8,2.166666667,3.428571429,0.428571429
"imagination",4,2.947,11,1.69,1.82,7.22,4.41,3.444444444,3.65,0.8
"imaginative",8,1.851,11,1.82,1.8,6.65,5.18,1.842105263,3.95,1.2
"imagine",2,3.616,7,1.53,1.87,7.2,4.46,2.842105263,4.368421053,0.210526316
"imitate",6,1.968,7,2.66,1.82,5.44,3.95,1.578947368,2.571428571,2.714285714
"imitation",6,2.146,9,2.83,1.82,4.54,4.46,0.375,3,3.571428571
"immaculate",12,1.613,10,2.48,1.67,6.53,4.85,0.555555556,2.35,0.6
"immaterial",8,1.663,10,2.08,1.59,4.68,3.08,0.6,1.722222222,0.555555556
"immature",6,2.225,8,2.35,1.48,3.17,4.21,1.210526316,2.3,1.9
"immediate",6,2.757,9,2.1,2.19,5.85,4.64,2.125,2.421052632,2.157894737
"immense",8,1.919,7,2.21,2.01,5.48,5.85,1.588235294,2.947368421,1.052631579
"immigrant",6,1.903,9,3.72,1.5,5.43,5.05,0,1.45,1.2
"immigration",6,2.111,11,3.03,1.46,4,4.22,0.4,2.045454545,1
"imminent",14,2.093,8,1.89,2.05,5.25,3.45,2.888888889,2.684210526,0.736842105
"immobile",10,1.415,8,2.86,1.77,2.89,4.38,1.619047619,2.5,1.227272727
"immoral",10,2.127,7,1.59,1.55,2.79,5.42,1.736842105,2.526315789,1.315789474
"immortal",8,2.417,8,2,1.56,6.24,5.3,1.3125,2.238095238,1.714285714
"immortality",8,2.013,11,1.52,1.28,5.42,4.9,2.266666667,2.380952381,1.095238095
"immune",8,2.346,6,2.43,1.53,6.38,4.5,2.485714286,1.875,1.21875
"immunity",10,2.337,8,2.07,1.6,6.14,3.67,2.15,2.789473684,1.473684211
"impact",8,2.682,6,2.59,2.05,5.76,5.85,1.684210526,2.526315789,1.368421053
"impair",13,0.954,6,1.73,1.78,3.26,3.9,1.5,2.277777778,1.222222222
"impart",12,1.447,6,2,1.95,5.63,3.76,0.470588235,2.111111111,1.944444444
"impartial",12,1.716,9,1.81,1.81,5.22,3.89,2.176470588,3.529411765,1.823529412
"impatience",6,1.556,10,1.93,1.64,3.63,4.22,2.368421053,3.142857143,0.952380952
"impatient",4,2.316,9,2.38,1.72,3.53,4.61,1.947368421,2.842105263,2.157894737
"impeachment",10,1.477,11,2.69,1.09,3.08,4.16,0.333333333,2.157894737,1.631578947
"impeccable",14,1.914,10,2.12,1.91,5.9,4.88,0.733333333,2.65,1.45
"impede",13,1.431,6,2.73,1.96,3.95,4.7,0.5625,2.388888889,1.277777778
"impediment",12,1.491,10,2.56,2.1,4.5,4.85,0.916666667,2.666666667,1.722222222
"impending",12,1.748,9,1.48,2.09,3.68,4.55,2.85,2.333333333,1.19047619
"impenetrable",10,1.724,12,2.62,1.8,4.95,4.61,0.684210526,1.882352941,0.882352941
"imperative",12,2.107,10,1.36,1.95,5.21,3.67,0.642857143,2.684210526,1.052631579
"imperfect",6,1.699,9,2.18,1.66,4.1,5.05,1.6875,2.5,0.944444444
"imperial",10,2.104,8,2.52,1.5,4.5,4.67,0.71875,2.137931034,0.896551724
"imperialist",12,1.431,11,2.36,1.16,4.29,4.17,0.523809524,1.444444444,1.555555556
"impersonal",8,1.653,10,1.69,1.68,3.85,4.21,1.368421053,2.380952381,1.666666667
"impertinence",12,1.491,12,2.28,1.59,4.37,3.35,0.9,2.1875,1.25
"impertinent",10,1.748,11,1.76,1.55,4.24,3.88,0.461538462,1.666666667,1.5
"impervious",12,1.505,10,2.04,1.87,5.21,4.36,1.176470588,2.166666667,0.666666667
"impetuous",14,1.771,9,1.73,1.65,4.55,4.39,2.230769231,2.384615385,1.307692308
"implant",12,2.041,7,4.31,1.57,4.39,4.15,1.578947368,2.052631579,0.368421053
"implement",8,1.806,9,2.33,1.85,5.05,3.82,0.666666667,2.882352941,1.764705882
"implication",10,1.69,11,1.61,1.96,4.77,3.71,1.509090909,2.352941176,1.529411765
"imply",8,2.14,5,1.86,1.93,4.79,4,1.5625,2.684210526,3.315789474
"impolite",4,1.826,8,1.96,1.47,3.1,5.25,1.6,2.476190476,2.428571429
"import",6,2.049,6,2.52,1.7,5.28,3.95,0.375,1.333333333,0.333333333
"important",2,4.025,9,2.14,2.26,6.82,4.71,2.473684211,2.95,2
"impose",8,2.164,6,1.93,1.94,3.86,4.89,1.368421053,2.3,2.1
"imposition",10,1.602,10,1.68,1.89,3.35,3.76,1.307692308,2.25,1.25
"impossibility",6,1.556,13,1.52,1.88,3.67,3.83,1.631578947,1.947368421,1
"impossible",2,3.479,10,1.66,2.15,3.5,4.52,1.421052632,1.65,0.5
"impotent",12,2.029,8,2.38,1.85,2.95,3.71,1.944444444,2,0.578947368
"impoverished",12,1.477,12,2.22,1.85,2.43,4.64,2.421052632,2.666666667,1.333333333
"impractical",6,1.663,11,1.6,2.06,3.77,4.53,0.736842105,2.227272727,1.227272727
"impregnable",12,1.477,11,2.52,1.56,4.68,3.95,0.368421053,1.388888889,0.777777778
"impress",6,2.717,7,2.07,1.99,6.25,4.82,1.777777778,2.5,2.15
"impression",6,2.976,10,2.23,2.01,6,3.86,2.4,3.55,1.75
"impressionable",10,1.643,14,1.4,1.63,5.4,4,2,3,1.25
"impressive",6,2.938,10,2.07,1.99,7.05,4.1,1.05,3.368421053,1.789473684
"imprint",8,1.813,7,3.96,1.61,5.24,2.43,0.764705882,2.05,1
"imprison",4,1.322,8,3.35,1.56,2.48,4.7,1.947368421,2.1,0.7
"imprisonment",6,1.973,12,3.46,1.28,3.1,5.14,1.363636364,3.473684211,1.684210526
"improbable",8,1.58,10,1.85,1.86,4.05,3.95,1.210526316,3.263157895,0.684210526
"impromptu",12,1.643,9,2.04,1.85,5.81,4.45,0.722222222,2.473684211,2
"improper",6,1.763,8,1.69,1.68,3.55,4.8,1.105263158,2.428571429,1.523809524
"impropriety",14,1.415,11,2.38,2.03,3.84,3.27,0.923076923,1.684210526,1.105263158
"improve",4,2.617,7,1.82,2.04,6.14,4.61,1.571428571,2.8125,1.65625
"improvement",4,2.299,11,2.6,1.93,6.53,4.95,2.35,3.052631579,1.368421053
"improvise",13,2.107,9,2.07,1.53,5.78,4.15,1.0625,2.9,2.55
"impulse",8,2.431,7,2.52,1.69,5.16,5.33,3.5625,2.166666667,0.666666667
"impulsive",8,2.14,9,2.25,1.55,4.67,6,3.166666667,3,1.619047619
"impure",6,1.623,6,2,1.57,3.68,4.38,1.894736842,3.368421053,1.473684211
"inability",6,1.914,9,2,2,3,3.5,1.789473684,2.15,1.2
"inaccessible",12,1.322,12,2.3,1.93,3.82,4.05,0.555555556,1.315789474,0.631578947
"inaccurate",6,1.431,10,2.33,2.03,3.35,3.95,1.5625,2.105263158,1.315789474
"inactive",8,1.544,8,3.17,1.7,4.24,3.05,1.736842105,2.684210526,1.263157895
"inadequate",8,1.982,10,1.96,2.05,2.57,4.3,2.2,2.638888889,1.5
"inadmissible",12,1.544,12,1.96,1.25,3.57,4.19,1.055555556,1.947368421,1.315789474
"inanimate",12,1.591,9,3.24,1.51,4.55,3.05,0.315789474,2.571428571,0.857142857
"inappropriate",8,2.53,13,1.59,1.97,3.7,4.95,1.263157895,3.25,1.9
"inaudible",10,1.477,9,2.29,1.6,3.61,3.33,0.65,2.85,1.2
"inaugural",8,1.322,9,2.21,1.72,5,3.78,0.684210526,2.315789474,1.105263158
"inbred",12,1.556,6,2.26,1.41,3.25,3.57,0.315789474,1.894736842,0.421052632
"incapable",6,2.24,9,1.64,1.93,3.55,3.9,1.548387097,2.535714286,1.25
"incarnate",10,1.362,9,2.11,1.03,4.62,4.7,1.285714286,1.736842105,1.210526316
"incense",8,1.968,7,4.04,1.36,5.79,3.95,0.294117647,3.421052632,1
"incentive",12,2.004,9,2.26,1.78,7.05,4.61,1,2.894736842,1.684210526
"inception",14,1.342,9,1.78,2.01,5.68,5.73,1.375,3.047619048,0.619047619
"incessant",13,1.38,9,2.42,1.83,3.21,4.71,0.764705882,2.176470588,1.764705882
"incest",14,1.653,6,2.24,1.09,2.16,4.36,1.1,2.85,1.75
"inch",2,2.801,4,4.37,1.79,5.4,3.29,0.117647059,2.157894737,0.157894737
"incident",6,2.946,8,2.86,1.82,4.2,5.65,1.105263158,2.8,1.85
"incidental",6,1.462,10,1.74,1.89,5.19,3.27,0.235294118,2.368421053,0.947368421
"incinerator",6,1.591,11,4.78,1.07,3.2,5.67,0.375,1.111111111,0.388888889
"incision",8,2.086,8,4.07,1.19,2.95,4.9,2.533333333,1.894736842,0.684210526
"inclination",8,1.633,11,2.03,1.96,4.89,4.1,0.928571429,3.625,1.75
"inclined",8,2.23,8,2.64,1.97,4.95,3.79,2.117647059,1.947368421,0.157894737
"include",4,2.755,7,2.48,2.18,6.39,3.05,1,2.952380952,2.333333333
"incoherent",12,1.447,10,2.39,1.69,3.81,2.96,0.823529412,3.05,1.8
"income",4,2.579,6,3.07,1.58,6.26,3.82,0.666666667,2.55,0.7
"incoming",8,2.5,8,2.5,1.93,5.62,4.15,0.823529412,2.222222222,1.277777778
"incomparable",6,1.69,12,1.48,1.65,4.71,3,1.75,1.85,0.7
"incompatible",10,1.462,12,1.82,1.85,3.2,3.61,1.3125,2.777777778,1.444444444
"incompetent",8,2.29,11,2.03,1.92,2.77,4.5,1.941176471,2.761904762,0.714285714
"incomplete",4,2.041,10,2.21,2.08,3.55,4.12,1.882352941,1.95,1
"incomprehensible",10,1.633,16,1.33,1.88,3.48,5,1.708333333,4.055555556,1.166666667
"inconceivable",10,1.672,13,1.38,1.9,5.05,4.41,1.6875,3.15,1.95
"inconclusive",13,1.633,12,1.5,1.91,3.79,4.05,0.764705882,2.238095238,1
"inconsequential",13,1.362,15,1.56,1.82,3.74,3.15,2,1.8125,0.5625
"inconsistent",10,1.748,12,2.17,1.77,3.32,3.2,1.526315789,2.684210526,1.105263158
"inconspicuous",10,1.532,13,2.07,1.36,5.05,3.55,0.461538462,2.80952381,0.80952381
"inconvenience",8,2.356,13,1.73,1.93,3.05,6.26,2.352941176,1.904761905,1.380952381
"inconvenient",10,1.924,12,1.46,2,2.73,4.83,1.8,2.263157895,0.894736842
"incorporate",8,1.602,11,2.15,2,5.37,2.71,0.333333333,2.631578947,1.684210526
"incorrect",4,2.057,9,2.07,1.75,3.09,3.62,1.263157895,2.176470588,1.764705882
"increase",6,2.64,8,2.61,2.04,5.9,5.06,0.9,2.684210526,1.421052632
"incredible",6,3.285,10,1.93,1.92,7.59,6.35,2.35,2.263157895,1.315789474
"incubation",8,1.342,10,3.32,0.93,4.45,3.14,0.611111111,1.411764706,0.352941176
"incubator",6,1.716,9,4.65,1.06,3.9,3.33,0.432432432,2.075,0.575
"incumbent",12,1.544,9,3.18,1.56,4.05,3.19,1,1.8,0.333333333
"incur",12,1.462,5,2,1.71,4.8,4,1.133333333,1.619047619,0.904761905
"incurable",6,1.724,9,1.88,1.67,1.9,4.9,0.888888889,2.761904762,1.857142857
"indebted",6,1.778,8,2.18,1.84,3.21,4.25,1.333333333,2.8,1.35
"indecent",6,1.964,8,1.86,1.14,4.52,5.4,1.176470588,3.19047619,2.238095238
"indecision",6,1.362,10,1.62,1.89,3.85,4.1,2.823529412,3.315789474,1.105263158
"indecisive",10,1.447,10,2,1.87,3.52,4.81,2.882352941,3.947368421,1.789473684
"indefinite",8,1.322,10,1.36,1.78,4.55,4.8,1.333333333,2.142857143,1.095238095
"independence",4,2.312,12,1.87,1.79,7.53,5.27,2.55,2.388888889,1.777777778
"independent",6,2.679,11,2.04,2.1,6.86,6.75,1.888888889,3.4,2.2
"indescribable",6,1.415,13,1.5,1.69,5.05,5.7,1.578947368,2.421052632,2.368421053
"indestructible",8,1.875,14,2.46,1.72,5.95,4.32,1,1.95,1.4
"indicate",6,2.629,8,2.39,2.05,5.05,3.32,0.555555556,1.947368421,2.368421053
"indication",6,2.26,10,1.97,2.19,5,3.83,0.75,1.75,1.4
"indicative",12,1.462,10,1.75,1.96,4.71,3.71,0.857142857,2.739130435,1.173913043
"indicator",10,1.653,9,2.73,1.86,5.47,2.86,0.263157895,1.8,1
"indictment",8,2.104,10,2.74,1.48,3.89,5.25,0.473684211,1.952380952,1.619047619
"indifference",12,1.748,12,1.85,1.84,4.35,3.61,2.526315789,3.588235294,1.823529412
"indifferent",12,1.771,11,1.89,1.95,4.28,3.19,1.75,2.782608696,1.130434783
"indigenous",13,1.763,10,2.24,1.57,4.75,4.22,0.4375,1.705882353,0.764705882
"indigestion",6,1.982,11,3.57,1.48,2.48,3.3,4.25,1.315789474,1.894736842
"indignant",12,1.38,9,1.71,1.78,3.32,4.5,1.166666667,3.285714286,1.928571429
"indignation",12,1.398,11,2.37,1.62,4.33,4.05,2.705882353,1.941176471,1.470588235
"indignity",12,1.322,9,1.56,1.94,3.37,4.65,2.558823529,2.756756757,1.297297297
"indirect",8,1.342,8,2.57,1.89,3.58,3.77,1.117647059,1.578947368,1.315789474
"indiscreet",14,1.415,10,1.8,1.52,3.84,4.38,1.25,2.535714286,1.892857143
"indiscretion",14,1.732,12,1.61,1.9,4.11,4.22,1.222222222,3.052631579,2.157894737
"indispensable",10,1.591,13,2.07,1.97,6.37,4.15,1.222222222,2.157894737,1.526315789
"indistinct",8,2.403,10,1.68,1.62,4.32,4.39,0.947368421,1.55,1
"individual",6,2.776,10,3.52,2.08,6.17,3.47,0.875,2.055555556,1.166666667
"individuality",6,1.643,13,2.07,1.66,6.95,5.67,1.388888889,4,2.25
"indivisible",10,1.342,11,2.26,1.67,5.38,4.1,0.647058824,1.888888889,0.111111111
"indoor",4,1.839,6,3.64,1.37,6.29,2.86,0.904761905,3.1,1.95
